image,MOS
10004473376.jpg,0.773836
10007357496.jpg,0.687286
10007903636.jpg,0.786286
10009096245.jpg,0.772438
100117038.jpg,0.751125
10012398043.jpg,0.651495
10013822223.jpg,0.683062
10014002683.jpg,0.647627
10017119924.jpg,0.662244
10020766793.jpg,0.815062
10020891105.jpg,0.568297
10022757465.jpg,0.710155
10022844623.jpg,0.60925
10027545463.jpg,0.72828
10027582235.jpg,0.771377
10029841663.jpg,0.70125
10031298826.jpg,0.505682
10031913154.jpg,0.705
10039534103.jpg,0.76075
10041870415.jpg,0.664211
10043785683.jpg,0.712043
10047832035.jpg,0.718
10048365153.jpg,0.580929
10050349236.jpg,0.309418
10058760545.jpg,0.152294
10059344614.jpg,0.686651
10061596254.jpg,0.596419
10067457634.jpg,0.784391
10068507976.jpg,0.576549
10068778516.jpg,0.718783
10069534975.jpg,0.737222
10071864114.jpg,0.719091
10075168775.jpg,0.747786
10077468576.jpg,0.738152
10077880165.jpg,0.312257
10079711433.jpg,0.590625
10082923485.jpg,0.532261
10086300493.jpg,0.683026
100882570.jpg,0.654748
10089027076.jpg,0.230786
10089177336.jpg,0.729459
10091520555.jpg,0.336444
10093057603.jpg,0.634956
10094235786.jpg,0.62156
10110458216.jpg,0.647294
10111411235.jpg,0.184706
10113730664.jpg,0.688125
10115071674.jpg,0.72775
10118773964.jpg,0.530734
10121813934.jpg,0.653981
10125013364.jpg,0.312712
10126177964.jpg,0.709079
10126857344.jpg,0.687332
10130566006.jpg,0.7195
10131980434.jpg,0.61028
10133867305.jpg,0.581607
10134737015.jpg,0.545903
10140071304.jpg,0.625577
10147970884.jpg,0.768562
10153847086.jpg,0.592312
10154367094.jpg,0.741121
10154991453.jpg,0.741855
10155925686.jpg,0.528798
101601008.jpg,0.610875
10164654253.jpg,0.52922
10164842933.jpg,0.766937
10169304416.jpg,0.808717
10173544123.jpg,0.651056
10177270623.jpg,0.594801
10177793964.jpg,0.685218
10178112894.jpg,0.402586
10178183416.jpg,0.756842
10178914656.jpg,0.697991
10183769356.jpg,0.700473
10186643874.jpg,0.515732
10186680555.jpg,0.553362
10186832194.jpg,0.575819
10187102065.jpg,0.387143
10187522803.jpg,0.684602
10191607755.jpg,0.794115
10196228605.jpg,0.638041
10203647273.jpg,0.735021
10205220286.jpg,0.292639
10206674394.jpg,0.791101
10207172624.jpg,0.625344
10209014225.jpg,0.648411
10209917915.jpg,0.469097
10211880874.jpg,0.350487
10213881683.jpg,0.371232
10218118033.jpg,0.75666
10221144393.jpg,0.182756
10224586444.jpg,0.37975
10226277514.jpg,0.432162
10226524916.jpg,0.206216
10227210045.jpg,0.704245
10241630856.jpg,0.636573
10241895785.jpg,0.670737
10244314384.jpg,0.475482
10244715656.jpg,0.533224
10246311914.jpg,0.75458
10246318724.jpg,0.743581
10258169584.jpg,0.572303
10260190424.jpg,0.688652
1026198859.jpg,0.702716
10262588616.jpg,0.614486
10264804094.jpg,0.766496
10264984793.jpg,0.661
10265315316.jpg,0.629514
10265809113.jpg,0.737768
10273804555.jpg,0.683026
10278246465.jpg,0.708416
10279904885.jpg,0.440401
10280683815.jpg,0.77425
10280835505.jpg,0.312257
10283619534.jpg,0.779741
10287677265.jpg,0.641272
10289468185.jpg,0.73525
10290759976.jpg,0.779257
1029470257.jpg,0.430962
10295875445.jpg,0.62563
10296038236.jpg,0.406438
10299438733.jpg,0.552683
102995966.jpg,0.164601
10316734944.jpg,0.673056
10319186405.jpg,0.555541
10319713194.jpg,0.079915
10325321.jpg,0.768718
10327985614.jpg,0.751027
10329149264.jpg,0.719797
10329235193.jpg,0.841292
10330831494.jpg,0.485321
10335072144.jpg,0.621611
10336689775.jpg,0.651811
103400056.jpg,0.778625
10342569703.jpg,0.386081
10344523015.jpg,0.525263
10344921126.jpg,0.044664
10346758803.jpg,0.635336
10346796664.jpg,0.706504
10349956885.jpg,0.6975
10350497833.jpg,0.582606
10351189716.jpg,0.610188
10353620913.jpg,0.567071
10358252894.jpg,0.644615
10362672006.jpg,0.75819
10366373284.jpg,0.754545
1036840624.jpg,0.283382
10371125786.jpg,0.382451
10371211803.jpg,0.663812
10372323314.jpg,0.653361
10373546175.jpg,0.619539
10375167904.jpg,0.62408
10382843045.jpg,0.486348
10387390396.jpg,0.743417
10387844376.jpg,0.656134
10388184626.jpg,0.785803
10395523125.jpg,0.605069
10397166423.jpg,0.739358
10397631976.jpg,0.737248
10399580503.jpg,0.766372
10403509543.jpg,0.680118
10407720764.jpg,0.386262
10408374535.jpg,0.489217
10408474376.jpg,0.814895
10409059825.jpg,0.731513
10410038143.jpg,0.781659
10412894895.jpg,0.574122
10414716033.jpg,0.710878
10415628976.jpg,0.200869
10415631353.jpg,0.430819
104219737.jpg,0.502955
10422425365.jpg,0.725724
10422776735.jpg,0.69772
10423472445.jpg,0.725705
10429780626.jpg,0.720286
10430002553.jpg,0.775206
10430335945.jpg,0.399741
10440370734.jpg,0.392436
10442628686.jpg,0.415811
10446770756.jpg,0.730288
10446810546.jpg,0.747344
10451177016.jpg,0.709358
10453950204.jpg,0.58975
10458591.jpg,0.514872
10458703674.jpg,0.381615
10459022813.jpg,0.799643
10463545414.jpg,0.550445
10463583515.jpg,0.766974
10464940425.jpg,0.713851
10465121613.jpg,0.615724
10465293055.jpg,0.765367
10466350116.jpg,0.772244
10466453556.jpg,0.288004
10468110795.jpg,0.614754
10468540574.jpg,0.67075
10469774844.jpg,0.596034
10471406506.jpg,0.282885
10474002734.jpg,0.807746
10475435053.jpg,0.578487
10475658035.jpg,0.83225
10481974434.jpg,0.424615
10486107003.jpg,0.679931
10490369963.jpg,0.390541
10491358066.jpg,0.6445
10491423125.jpg,0.725
10492897986.jpg,0.446284
10505275743.jpg,0.7525
10506082433.jpg,0.419444
10512432565.jpg,0.681786
10513907744.jpg,0.594312
10516786036.jpg,0.739438
10517436165.jpg,0.424652
10520192995.jpg,0.55163
10525460645.jpg,0.719653
10526881085.jpg,0.444598
10530470795.jpg,0.387568
10532663625.jpg,0.702566
10534454676.jpg,0.710891
10535849673.jpg,0.479556
10536668436.jpg,0.365432
10538085833.jpg,0.526711
10539008983.jpg,0.710155
10539142034.jpg,0.781809
10539341593.jpg,0.75025
10544775715.jpg,0.480643
10544833625.jpg,0.505757
10544945153.jpg,0.508235
10554234623.jpg,0.516092
10556629035.jpg,0.732821
10558118243.jpg,0.758
105620456.jpg,0.558625
10567114974.jpg,0.648478
10567188645.jpg,0.641576
10568567754.jpg,0.751783
10569725133.jpg,0.743009
1057328504.jpg,0.314955
10574233584.jpg,0.51711
10575593285.jpg,0.592126
10576676414.jpg,0.664107
10579282866.jpg,0.633182
1057997640.jpg,0.527759
10581525775.jpg,0.633767
10582113466.jpg,0.581607
10583786994.jpg,0.601881
10586872235.jpg,0.416389
